1	我们试试看！	我們試試看！	wǒmen shìshìkàn ！	We give it a try!
2	我该去睡觉了。	我該去睡覺瞭。	wǒ gāi qù shuìjiào le 。	I go to bed.
3	你在干什么啊？	你在乾什麼啊？	nǐ zài gān shénme a ？	What are you doing ah?
4	这是什么啊？	這是什麼啊？	zhèshì shénme a ？	what is this?
5	今天是６月１８号，也是Muiriel的生日！	今天是６月１８號，也是Muiriel的生日！	jīntiān shì liù yuè １ ８ hào ， yě shì muiriel de shēngrì ！	Today is June 18, also Muiriel birthday!
6	生日快乐，Muiriel！	生日快樂，Muiriel！	shēngrìkuàilè ， muiriel ！	Happy Birthday, Muiriel!
7	Muiriel现在20岁了。	Muiriel現在20歲瞭。	muiriel xiànzài èrlíng suì le 。	Muiriel now 20 years old.
8	密码是"Muiriel"。	密碼是"Muiriel"。	mìmǎ shì " muiriel " 。	The password is "Muiriel".
9	我很快就会回来。	我很快就會迴來。	wǒ hěnkuài jiù huì huílai 。	I'll be back soon.
10	我不知道。	我不知道。	wǒ bù zhīdào 。	I do not know.
11	我不知道应该说什么才好。	我不知道應該說什麼纔好。	wǒ bù zhīdào yīnggāi shuō shénme cái hào 。	I do not know what to say.
12	这个永远完不了了。	這個永遠完不瞭瞭。	zhège yǒngyuǎn wán buliǎo le 。	This never going to end.
13	我只是不知道应该说什么而已……	我隻是不知道應該說什麼而已……	wǒ zhǐshì bù zhīdào yīnggāi shuō shénme éryǐ  	I just do not know what to say it ......
14	那是一只有恶意的兔子。	那是一隻有惡意的兔子。	nà shì yīzhī yǒu èyì de tùzi 。	It was only a malicious rabbit.
15	我以前在山里。	我以前在山裏。	wǒ yǐqián zài shānlǐ 。	I used to in the mountains.
16	那是一张近照吗？	那是一張近照嗎？	nà shì yīzhāng jìnzhào mǎ ？	It was a recent photograph of it?
17	我不知道我有没有时间。	我不知道我有沒有時間。	wǒ bù zhīdào wǒ yǒuméiyǒu shíjiān 。	I do not know that I have no time.
18	刚才我的麦克风没起作用，不知道为什么。	剛纔我的麥剋風沒起作用，不知道為什麼。	gāngcái wǒ de màikèfēng mòqǐ zuòyòng ， bù zhīdào wéi shénme 。	My microphone did not work earlier, I do not know why.
19	到了最后，大家一定要靠自己学习。	到瞭最後，大傢一定要靠自己學習。	dào le zuìhòu ， dàjiā yīdìng yào kào zìjǐ xuéxí 。	In the end, we must rely on their own learning.
20	世界上的教育都让我失望。	世界上的教育都讓我失望。	shìjiè shàng de jiàoyù dōu ràng wǒ shīwàng 。	Education in the world let me down.
21	选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。	選擇什麼是“對”或“錯”是一項艱難的任務，我們卻必須要完成它。	xuǎnzé shénme shì “ duì ” huò “ cuò ” shì yīxiàng jiānnán de rènwu ， wǒmen què bìxū yào wánchéng tā 。	Choose what is "right" or "wrong" is a difficult task, but we have to finish it.
22	这样做的话什么都不会改变的。	這樣做的話什麼都不會改變的。	zhèyàng zuò dehuà shénme dōu bùhuì gǎibiàn de 。	To do so, then nothing will change.
23	这个要三十欧元。	這個要三十歐元。	zhège yào sānshí ōuyuán 。	To this thirty euros.
24	我一天赚一百欧元。	我一天賺一百歐元。	wǒ yītiān zhuàn yībǎi ōuyuán 。	One day I earn one hundred euros.
25	也许我会马上放弃然后去睡一觉。	也許我會馬上放棄然後去睡一覺。	yěxǔ wǒhuì mǎshàng fàngqì ránhòu qù shuìyījué 。	Maybe I'll give up and go to sleep right away.
26	那是不会发生的。	那是不會發生的。	nà shì bùhuì fāshēng de 。	That it's not going to happen.
27	我会尽量不打扰你复习。	我會盡量不打擾你復習。	wǒhuì jìnliàng bù dǎrǎo nǐ fùxí 。	I'll try not to bother you review.
28	不要担心。	不要擔心。	bùyào dānxīn 。	do not worry.
29	我很想你。	我很想你。	wǒ hěn xiǎng nǐ 。	I miss you.
30	我明天回来的时候会跟他们联络。	我明天迴來的時候會跟他們聯絡。	wǒ míngtiān huílai de shíhou huì gēn tāmen liánluò 。	Come back tomorrow when I'll call them.
31	我一直都比较喜欢神秘一点的人物。	我一直都比較喜歡神秘一點的人物。	wǒ yīzhí dōu bǐjiào xǐhuan shénmì yīdiǎn de rénwù 。	I always prefer a little mysterious figure.
32	你应该去睡觉了吧。	你應該去睡覺瞭吧。	nǐ yīnggāi qù shuìjiào le ba 。	You should go to bed now.
33	我要走了。	我要走瞭。	wǒyào zǒu le 。	I'm leaving.
34	我请他们再寄给我一张票。	我請他們再寄給我一張票。	wǒ qǐng tāmen zàijì gěiwǒ yīzhāng piào 。	I asked them to send me a ticket again.
35	我不能活那种命。	我不能活那種命。	wǒ bùnéng huó nàzhǒng mìng 。	I can not live that kind of life.
36	我曾经想过当个太空物理学家。	我曾經想過當個太空物理學傢。	wǒ céngjīng xiǎngguò dāngge tàikōng wùlǐxuéjiā 。	I have thought about when a space physicist.
37	我从来没喜欢过生物学。	我從來沒喜歡過生物學。	wǒ cóngláiméi xǐhuan guò shēngwùxué 。	I never liked biology.
38	可惜这是真的。	可惜這是真的。	kěxī zhèshì zhēnde 。	Unfortunately, this is true.
39	大部份的人觉得我疯了。	大部份的人覺得我瘋瞭。	dàbùfen de rén juéde wǒ fēng le 。	Most people think I'm crazy.
40	不，我不是！你才是！	不，我不是！你纔是！	bù ， wǒ bùshì ！ nǐ cái shì ！	No, I am not! You're the one!
41	那是我该说的话!	那是我該說的話!	nà shì wǒ gāi shuō dehuà !	That I say!
42	他在踢我！	他在踢我！	tā zài tī wǒ ！	He kicked me!
43	你肯定吗？	你肯定嗎？	nǐ kěndìng mǎ ？	Are you sure?
44	那就表示有问题...	那就錶示有問題...	nà jiù biǎoshì yǒu wèntí ...	It means there is a problem ...
45	哦！有一只蝴蝶！	哦！有一隻蝴蝶！	o ！ yǒu yīzhī húdié ！	Oh! A butterfly!
46	赶快!	趕快!	gǎnkuài !	hurry up!
47	如果我可以像那样的话...	如果我可以像那樣的話...	rúguǒ wǒ kěyǐ xiàng nàyàngdehuà ...	If I could be like that's the case ...
48	你是在跟我开玩笑吧？！	你是在跟我開玩笑吧？！	nǐ shì zài gēn wǒ kāiwánxiào ba ？ ！	You're kidding me, right? !
49	我长大后想当国王。	我長大後想當國王。	wǒ zhǎngdà hòu xiǎngdāng guówáng 。	I grew up to be a king.
50	我好胖哦。	我好胖哦。	wǒ hào pàng o 。	Oh, I'm so fat.
51	那又怎样?	那又怎樣?	nà yòu zěnyàng ?	So what?
52	我要把他射下来。	我要把他射下來。	wǒyào bǎ tā shèxiàlái 。	I'm going to shoot him down.
53	那是因为妳是女生。	那是因為妳是女生。	nà shì yīnwèi nǎishì nǚshēng 。	That's because u are girls.
54	我会不高兴，但我不会自杀。	我會不高興，但我不會自殺。	wǒhuì bù gāoxìng ， dàn wǒ bùhuì zìshā 。	I will not be happy, but I will not commit suicide.
55	以前读高中的时候﹐我每天早上六点起床。	以前讀高中的時候﹐我每天早上六點起床。	yǐqián dú gāozhòng de shíhou ﹐ wǒ měitiān zǎoshang liùdiǎn qǐchuáng 。	Time before high school, I get up at six every morning.
56	你问这个干什么?	你問這個幹什麼?	nǐwèn zhège gànshénme ?	Why do you ask?
57	你待了多久?	你待瞭多久?	nǐ dài le duōjiǔ ?	How long have you?
58	我不知道它是从哪里来的。	我不知道它是從哪裏來的。	wǒ bù zhīdào tā shìcóng nǎlǐ lái de 。	I do not know where it came from.
59	这个不重要。	這個不重要。	zhège bù zhòngyào 。	This is not important.
60	哪里有问题?	哪裡有問題?	nǎlǐ yǒu wèntí ?	Where there are problems?
61	不要再把我当成“正常” 人!	不要再把我當成“正常” 人!	bùyào zài bǎ wǒ dàngchéng “ zhèngcháng ”   rén !	Not treat me as "normal" people!
62	所有被发明的都是真的。	所有被發明的都是真的。	suǒyǒu bèi fāmíng de dōu shì zhēnde 。	All were invented is true.
63	感到惊讶、感到惊奇就是明白的开始。	感到驚訝、感到驚奇就是明白的開始。	gǎndào jīngyà  gǎndào jīngqí jiùshì míngbai de kāishǐ 。	Surprise, surprise is beginning to understand.
